% MAGMA 2.7.0  32-bit magma_int_t, 64-bit pointer.
% Compiled with CUDA support for 8.0
% CUDA runtime 11070, driver 12000. OpenMP threads 16. 
% device 0: NVIDIA A30 MIG 2c.4g.24gb, 1440.0 MHz clock, 24092.4 MiB memory, capability 8.0
% Mon Mar 13 22:20:31 2023
% Usage: /homelocal/jcamar02/magma-2.7.0/build/testing/testing_dgemm [options] [-h|--help]

% If running lapack (option --lapack), MAGMA and cuBLAS error are both computed
% relative to CPU BLAS result. Else, MAGMA error is computed relative to cuBLAS result.

% transA = No transpose, transB = No transpose
%   M     N     K   MAGMA Gflop/s (ms)  cuBLAS Gflop/s (ms)   CPU Gflop/s (ms)  MAGMA error  cuBLAS error
%========================================================================================================
 7808  7808  7808   1980.11 ( 480.80)    5111.56 ( 186.25)     ---   (  ---  )    8.52e-19        ---    ok
 7936  7936  7936   1926.70 ( 518.83)    5108.10 ( 195.69)     ---   (  ---  )    8.32e-19        ---    ok
 8064  8064  8064   2115.45 ( 495.77)    5095.16 ( 205.84)     ---   (  ---  )    8.12e-19        ---    ok
 8192  8192  8192   1941.83 ( 566.23)    5099.35 ( 215.62)     ---   (  ---  )    7.93e-19        ---    ok
 8320  8320  8320   2082.29 ( 553.17)    5101.67 ( 225.78)     ---   (  ---  )    7.75e-19        ---    ok
 8448  8448  8448   2123.74 ( 567.79)    5108.84 ( 236.03)     ---   (  ---  )    7.58e-19        ---    ok
 8576  8576  8576   2110.81 ( 597.64)    5113.88 ( 246.68)     ---   (  ---  )    7.41e-19        ---    ok
 8704  8704  8704   2101.84 ( 627.46)    5094.28 ( 258.88)     ---   (  ---  )    7.24e-19        ---    ok
 8832  8832  8832   2095.93 ( 657.40)    5056.67 ( 272.49)     ---   (  ---  )    7.08e-19        ---    ok
 8960  8960  8960   2069.67 ( 695.11)    5112.93 ( 281.37)     ---   (  ---  )    6.93e-19        ---    ok
 9088  9088  9088   2057.87 ( 729.49)    5093.14 ( 294.75)     ---   (  ---  )    6.78e-19        ---    ok
 9216  9216  9216   2086.14 ( 750.44)    5108.87 ( 306.43)     ---   (  ---  )    6.65e-19        ---    ok
 9344  9344  9344   2078.40 ( 785.06)    5088.74 ( 320.64)     ---   (  ---  )    6.51e-19        ---    ok
 9472  9472  9472   2086.94 ( 814.41)    5096.06 ( 333.52)     ---   (  ---  )    6.38e-19        ---    ok
 9600  9600  9600   2148.00 ( 823.78)    5116.58 ( 345.83)     ---   (  ---  )    6.25e-19        ---    ok
 9728  9728  9728   2149.03 ( 856.76)    5097.92 ( 361.17)     ---   (  ---  )    6.13e-19        ---    ok
 9856  9856  9856   2177.66 ( 879.31)    5077.80 ( 377.10)     ---   (  ---  )    6.00e-19        ---    ok
 9984  9984  9984   2203.32 ( 903.37)    5070.98 ( 392.51)     ---   (  ---  )    5.89e-19        ---    ok
10112 10112 10112   2137.56 ( 967.44)    5057.04 ( 408.93)     ---   (  ---  )    5.78e-19        ---    ok
10240 10240 10240   2226.81 ( 964.38)    5067.47 ( 423.78)     ---   (  ---  )    5.68e-19        ---    ok
